time,open,high,low,close,MHULL,SHULL
1534723200,6486.298747,6523.917042,6225.78,6245.328138,6508.2260121934905,6701.578437747439
1534809600,6242.752783,6480,6229.905948,6472.067606,6423.635368877651,6603.386193995596
1534896000,6472.067606,6833.309717,6265.129117,6350.710647,6345.924320654299,6508.2260121934905
1534982400,6350.710647,6568.475652,6343.460786,6533.243148,6280.029244792454,6423.635368877651
1535068800,6533.243142,6711.54,6455.547656,6675.766188,6229.279760174759,6345.924320654299
1535155200,6691.296069,6780,6648.082701,6730.79135,6194.880764830494,6280.029244792454
1535241600,6730.79135,6765,6564.848266,6711.005724,6174.870439038933,6229.279760174759
1535328000,6701.988375,6920.138337,6651.990013,6905,6173.311768032144,6194.880764830494
1535414400,6900,7120,6862.024693,7084.264267,6191.412067426068,6174.870439038933
1535500800,7070.12402,7127.426448,6920.122047,7028.244023,6224.102232807212,6173.311768032144
1535587200,7039.233493,7064.047056,6780,6986.652348,6266.664003767563,6191.412067426068
1535673600,6977.366127,7082.795592,6890.910667,7020.758088,6317.3404081721665,6224.102232807212
1535760000,7018.474023,7273.434839,7018.474023,7198.473991,6378.246009816134,6266.664003767563
1535846400,7198.473991,7344.796153,7124.299503,7292.770894,6448.939888124215,6317.3404081721665
1535932800,7296.100329,7330,7199.268531,7273.858614,6525.58692574606,6378.246009816134
1536019200,7261,7413.193136,7237,7360,6608.091678998768,6448.939888124215
1536105600,7360,7396.003236,6684.976342,6709.074227,6676.548492025097,6525.58692574606
1536192000,6706.391184,6724.38637,6301.586508,6512.453495,6726.884118859174,6608.091678998768
1536278400,6515,6539.259294,6320.000001,6386.436363,6757.3541096938225,6676.548492025097
1536364800,6404.640112,6477.08066,6109.282084,6189.193029,6765.312271914424,6726.884118859174
1536451200,6189.193029,6441.604886,6149.464018,6241.341762,6756.592880018725,6757.3541096938225
1536537600,6260.685749,6360.791088,6225,6307.271817,6737.326258006427,6765.312271914424
1536624000,6318.072567,6383,6180,6292.620885,6710.876514212579,6756.592880018725
1536710400,6297.082006,6358.181073,6194.660701,6339.508596,6682.705691281574,6737.326258006427
1536796800,6333.779185,6533.194602,6331.303192,6474.925169,6657.820994017318,6710.876514212579
1536883200,6484.490004,6584.440856,6400,6484.405909,6636.801988576223,6682.705691281574
1536969600,6475.709411,6563.566056,6464.088668,6511.175984,6619.836926030447,6657.820994017318
1537056000,6519.055395,6525.314525,6380.881846,6500.123456,6605.356173234896,6636.801988576223
1537142400,6495.53994,6542.440011,6212,6253,6585.405583980493,6619.836926030447
1537228800,6256.82671,6395.423199,6231.25348,6337.869937,6562.659360616286,6605.356173234896
1537315200,6337.869937,6517.833618,6120.796058,6390.888111,6538.303421037782,6585.405583980493
1537401600,6388.4545,6537.563093,6337.192846,6497.542478,6515.165451636079,6562.659360616286
1537488000,6489,6775,6489,6760.1,6500.359219934255,6538.303421037782
1537574400,6760.1,6836.901942,6633.598391,6716.125419,6491.580150662842,6515.165451636079
1537660800,6725.000001,6777.777,6667.329601,6709.303601,6487.816301015496,6500.359219934255
